Name,Difficulty,Distance,elevation_gain,route_type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach,location,stars
Bear Creek Trail to the Castle,EASY,2.0,154,Out & Back,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lair o' the Bear Park,4.1
Crystal Lakes Trail,HARD,14.5,3097,Out & Back,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8
Schubarth 4x4 Road,MODERATE,19.6,2260,Loop,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.5
Mount Chiquita via Chapin Pass Trail,MODERATE,5.0,2057,Out & Back,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9
Beaver Creek Loop Trail,MODERATE,7.5,1696,Loop,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaver Creek State Wildlife Area,4.1
Red Mountain Trail,MODERATE,2.5,944,Out & Back,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manitou Springs Open Space,4.5
Buffalo Peaks Loop,MODERATE,11.4,2024,Loop,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.6
Mirror Lake Trail,MODERATE,12.6,2040,Out & Back,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8
Black Bear/Horseshoe Loop,MODERATE,6.0,1433,Loop,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.4
Spruce Creek Loop,EASY,4.3,984,Loop,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.4
Caribou Lake via Arapaho Pass Trail,HARD,9.0,2585,Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Indian Peaks Wilderness,4.8
Indian Creek and Steven's Gulch Loop Trail,HARD,19.2,3937,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.0
Byers Peak Trail,HARD,9.1,2988,Out & Back,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.7
Meadowlark Plymouth Creek Short Loop,MODERATE,2.5,518,Loop,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deer Creek Canyon Park,4.2
Minnie Mine Loop,MODERATE,1.8,275,Loop,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.2
Kineo Mountain via Seven Bridges Trail,MODERATE,5.8,2004,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Cheyenne Cañon Park,4.6
Toll Memorial Trail,EASY,1.1,154,Out & Back,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Falls Creek Loop,EASY,4.8,518,Loop,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,3.9
Foothills Trail: Maxwell Natural Area,EASY,3.9,593,Out & Back,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring Canyon Community Park,4.0
Thunder Lake Trail,HARD,11.2,2234,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Red Mountain Trail,MODERATE,6.7,1604,Out & Back,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Two Rivers Park,4.2
Mount Evans Summit Trail,EASY,0.5,82,Out & Back,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Evans Wilderness,4.3
Fountain Creek Nature Trail,EASY,1.7,36,Loop,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fountain Creek Regional Park,4.1
Paulie's Plunge Trail,MODERATE,4.6,1325,Out & Back,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.0
North Inlet Trail to Lake Nokoni,MODERATE,18.3,2913,Out & Back,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.5
Notch Mountain,HARD,9.6,2857,Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Cross Wilderness,4.9
Lulu City Trail,MODERATE,7.1,826,Out & Back,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.2
Mason Creek Trail to Bear Paw Trail,MODERATE,7.6,1453,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Staunton State Park,4.5
Painted Wall View Trail,EASY,0.2,6,Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Canyon of the Gunnison National Park,4.6
Mount Sopris Trail,HARD,12.9,4412,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.7
McIntosh Lake,EASY,3.5,39,Loop,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Dawson Park,3.9
Onahu Trail to Granite Falls,MODERATE,10.8,1633,Out & Back,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6
Kings Lake Trail,MODERATE,12.0,2683,Out & Back,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8
Echo Lake to Summit Lake ,MODERATE,11.1,3293,Out & Back,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Evans Wilderness,4.7
Shadow Mountain Trail,MODERATE,9.5,1748,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Arapaho National Forest,4.1
Hahns Peak Trail ,HARD,3.6,1410,Out & Back,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Medicine Bow-Routt National Forest,4.6
Long Lake to Isabelle Glacier,MODERATE,8.0,1607,Out & Back,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8
Missouri Lakes and Fancy Lakes Loop Trail,MODERATE,8.3,2565,Loop,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Cross Wilderness,4.9
Harmonica Arch Trail,HARD,5.4,1200,Out & Back,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.7
Piedra Falls Trail,EASY,1.0,108,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.1
Gibson Lake Trail,MODERATE,7.4,2060,Out & Back,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.3
Blanca Peak,HARD,19.2,6640,Out & Back,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Grande National Forest,4.5
Baby Bathtubs Trail,EASY,0.9,341,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uncompahgre National Forest,4.2
Poudre River Trail,EASY,18.8,295,Out & Back,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cottonwood Hollow Natural Area,4.0
Lion Lake Trail,HARD,12.4,3031,Out & Back,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7
Lake Estes Trail,EASY,3.8,190,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Estes Park Goif Course,3.9
M. Walter Pesman Trail,MODERATE,2.7,761,Out & Back,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echo Lake Park,4.5
Sand Canyon Trail,MODERATE,7.1,754,Out & Back,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Canyons of The Ancients National Monument,4.5
Chatfield Dog Park,EASY,1.6,22,Loop,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Chatfield State Park,4.7
Browns Creek and Little Browns Creek Trail,HARD,18.1,4409,Loop,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.4
Oak Flat Loop Trail,MODERATE,1.3,311,Loop,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Canyon of the Gunnison National Park,4.2
Green Mountain Trail,MODERATE,3.5,705,Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4
Golden Eagle Trail to Bill Couch Mountain,MODERATE,6.5,1315,Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deer Creek Canyon Park,4.5
Peak 10 Trail,MODERATE,13.0,3818,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.4
Chapin Pass Trail to Mount Chapin,MODERATE,3.9,1463,Out & Back,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9
Cucumber Gulch ,EASY,2.9,288,Out & Back,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,White River National Forest,3.8
North Table Mountain Outer Rim Loop,MODERATE,7.2,1059,Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Table Mountain Park,4.2
Storm King Mountain Memorial Trail,HARD,3.5,1673,Loop,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,White River National Forest,4.6
South Boulder Creek Trail,EASY,6.6,170,Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,East Boulder Community Park,3.9
Bear Lake to Alberta Falls to Mills Lake,MODERATE,5.4,938,Out & Back,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6
Kingston Peak,MODERATE,6.0,1656,Out & Back,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.0
Meadow Mountain,MODERATE,9.4,2060,Out & Back,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.0
Upper Beaver Meadows Loop Trail,EASY,1.1,114,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,3.8
Evergreen Lake Trail,EASY,1.4,39,Loop,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dedisse Park,3.8
Smuggler Mountain Trail,MODERATE,14.0,3179,Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.2
Bob/Betty Lakes Trail Via King Lake Trail,HARD,12.4,2598,Out & Back,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8
Native Lake Trail,MODERATE,7.2,2047,Out & Back,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mt Massive Wilderness Area,4.7
Ute and Range View Trail Loop,MODERATE,1.1,200,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boulder Open Space,4.2
Bear Lake via Horn Fork Trail,MODERATE,10.4,2536,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collegiate Peaks Wilderness,4.4
Mount Falcon Lookout Trail,EASY,1.4,180,Out & Back,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Falcon Park,4.6
Almagre Mountain Trail,MODERATE,15.4,2824,Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.7
Platte Canyon Trail,MODERATE,15.1,2066,Point to Point,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reynolds Ranch County Park,4.3
Edna Mae Bennet Nature Trail,EASY,2.3,301,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Palmer Park,4.0
"Gregory Canyon, Ranger, E.M. Greenman, Green Mountain Saddle Rock, Amphitheater Loop",HARD,5.0,2342,Loop,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5
Grizzly Lake Trail,MODERATE,7.1,1961,Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.7
Fox Run Loop Trail,EASY,3.1,429,Loop,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fox Run Regional Park,4.2
Mount Carbon Loop,EASY,6.6,564,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear Creek Canyon Park,3.9
Mount Antero Trail,MODERATE,14.2,4819,Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mc Phelemy Park,4.3
"Nymph, Dream, Haiyaha and Loch Vale Lakes Loop",MODERATE,7.9,1587,Loop,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9
Old Fall River Road,EASY,10.5,3280,Point to Point,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.3
Limber Grove Trail,MODERATE,3.5,564,Out & Back,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.4
Balcony House Loop Trail,EASY,0.4,91,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mesa Verde National Park,4.5
Big South Trail,MODERATE,6.5,1128,Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.7
Apex Trail to Enchanted Forest Trail Loop,MODERATE,5.2,1256,Loop,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apex Open Space Park,4.2
Whitney Lake Trail,MODERATE,4.8,1837,Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Cross Wilderness,4.3
South Colony Lakes Trail,HARD,8.9,2286,Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.5
Corona Lake,EASY,2.0,449,Out & Back,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.1
Capitol Peak,HARD,15.4,5836,Out & Back,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.9
Alpine Ridge Trail,EASY,0.6,124,Out & Back,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.2
Santa Fe Regional Trail,EASY,16.9,1213,Point to Point,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Discovery Park,3.9
Indiana Gulch Trail,EASY,2.8,328,Out & Back,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,3.6
Genesee Summit Trail,EASY,1.1,177,Loop,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genesee Park,3.7
Rolling Creek Trail Via Colorado Trail ,HARD,25.6,5928,Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Creek Wilderness,4.4
Mount Belford,HARD,7.0,4520,Out & Back,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.5
Ophir Pass Road,MODERATE,9.8,1794,Point to Point,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.3
Rooney Valley Trail/Green Mountain Trail Loop,MODERATE,3.6,803,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William F Hayden Green Mountain Park,3.9
The Keyhole and Longs Peak Trail,HARD,13.1,4881,Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8
Caribou Peak Trail,MODERATE,3.4,800,Loop,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.4
Engineer Pass Road,MODERATE,20.5,1085,Point to Point,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Uncompahgre National Forest,4.6
Hell Canyon Loop,HARD,15.9,5229,Loop,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6
Hassell Lake,MODERATE,3.1,836,Loop,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,3.8
Paul Intemann Nature Trail,EASY,1.8,344,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manitou Springs Open Space,4.0
"Bunce School Road, Ironclads and Plane Crash 4x4 Trails",HARD,15.9,2562,Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.6
Haviland Lake Trail,MODERATE,4.8,757,Loop,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,San Juan National Forest,3.9
Lonesome Lake Trail,MODERATE,10.1,1758,Out & Back,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.6
Curecanti Creek Trail,HARD,3.7,836,Out & Back,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Curecanti National Recreation Area,4.9
Walker's Dream via Castle Trail,MODERATE,3.1,383,Out & Back,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mount Falcon Park,4.6
Blue Sky and Indian Summer Trail,MODERATE,15.6,1771,Out & Back,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horsetooth Mountain Park,3.8
Big Dry Creek Trail,EASY,11.7,127,Point to Point,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Waverly Park,4.0
Castle Rock via Elbert Creek Trail,MODERATE,4.5,1646,Out & Back,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.5
West Spanish Peak Trail,MODERATE,7.9,2624,Out & Back,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.4
Brown's Lake Trail,MODERATE,8.2,2070,Out & Back,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.5
Maroon Snowmass Trail and Snowmass Lake and Snowmass Mountain,HARD,20.3,6213,Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maroon Bells Snowmass Wilderness,4.5
Crater Lake Trail,MODERATE,9.9,1994,Out & Back,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,San Juan National Forest,4.3
Upper Mule Deer Trail,EASY,3.7,501,Out & Back,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.2
Meadow Creek Trail,MODERATE,8.4,2286,Out & Back,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walter Byron Memorial Park,4.1
Kelly Flats Trail,HARD,10.2,2814,Point to Point,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Cache La Poudre Wilderness,4.4
