Name,Difficulty,Distance,Elevation Gain,Route Type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach
M. Walter Pesman Trail,MODERATE,2.7 miles,761 feet,Out & Back,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sand Canyon Trail,MODERATE,7.1 miles,754 feet,Out & Back,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chatfield Dog Park,EASY,1.6 miles,22 feet,Loop,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Browns Creek and Little Browns Creek Trail,HARD,18.1 miles,"4,409 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oak Flat Loop Trail,MODERATE,1.3 miles,311 feet,Loop,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Mountain Trail,MODERATE,3.5 miles,705 feet,Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Eagle Trail to Bill Couch Mountain,MODERATE,6.5 miles,"1,315 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak 10 Trail,MODERATE,13.0 miles,"3,818 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapin Pass Trail to Mount Chapin,MODERATE,3.9 miles,"1,463 feet",Out & Back,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cucumber Gulch ,EASY,2.9 miles,288 feet,Out & Back,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
North Table Mountain Outer Rim Loop,MODERATE,7.2 miles,"1,059 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Storm King Mountain Memorial Trail,HARD,3.5 miles,"1,673 feet",Loop,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carter Lake Reservoir - Sundance Trail,EASY,5.9 miles,265 feet,Out & Back,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Boulder Creek Trail,EASY,6.6 miles,170 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bear Lake to Alberta Falls to Mills Lake,MODERATE,5.4 miles,938 feet,Out & Back,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Memorial ,MODERATE,3.7 miles,"1,167 feet",Out & Back,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingston Peak,MODERATE,6.0 miles,"1,656 feet",Out & Back,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meadow Mountain,MODERATE,9.4 miles,"2,060 feet",Out & Back,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Upper Beaver Meadows Loop Trail,EASY,1.1 miles,114 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Trail,MODERATE,2.4 miles,643 feet,Loop,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evergreen Lake Trail,EASY,1.4 miles,39 feet,Loop,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smuggler Mountain Trail,MODERATE,14.0 miles,"3,179 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bob/Betty Lakes Trail Via King Lake Trail,HARD,12.4 miles,"2,598 feet",Out & Back,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native Lake Trail,MODERATE,7.2 miles,"2,047 feet",Out & Back,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ute and Range View Trail Loop,MODERATE,1.1 miles,200 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bear Lake via Horn Fork Trail,MODERATE,10.4 miles,"2,536 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Falcon Lookout Trail,EASY,1.4 miles,180 feet,Out & Back,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almagre Mountain Trail,MODERATE,15.4 miles,"2,824 feet",Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte Canyon Trail,MODERATE,15.1 miles,"2,066 feet",Point to Point,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edna Mae Bennet Nature Trail,EASY,2.3 miles,301 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Gregory Canyon, Ranger, E.M. Greenman, Green Mountain Saddle Rock, Amphitheater Loop",HARD,5.0 miles,"2,342 feet",Loop,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Elbert Southeast Ridge Trail,HARD,9.9 miles,"5,108 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grizzly Lake Trail,MODERATE,7.1 miles,"1,961 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rim Trail South,MODERATE,7.4 miles,"1,512 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Run Loop Trail,EASY,3.1 miles,429 feet,Loop,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Carbon Loop,EASY,6.6 miles,564 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Antero Trail,MODERATE,14.2 miles,"4,819 feet",Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nymph, Dream, Haiyaha and Loch Vale Lakes Loop",MODERATE,7.9 miles,"1,587 feet",Loop,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Fall River Road,EASY,10.5 miles,"3,280 feet",Point to Point,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Limber Grove Trail,MODERATE,3.5 miles,564 feet,Out & Back,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balcony House Loop Trail,EASY,0.4 miles,91 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big South Trail,MODERATE,6.5 miles,"1,128 feet",Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex Trail to Enchanted Forest Trail Loop,MODERATE,5.2 miles,"1,256 feet",Loop,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitney Lake Trail,MODERATE,4.8 miles,"1,837 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Colony Lakes Trail,HARD,8.9 miles,"2,286 feet",Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corona Lake,EASY,2.0 miles,449 feet,Out & Back,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitol Peak,HARD,15.4 miles,"5,836 feet",Out & Back,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colorado River Trail,MODERATE,4.2 miles,269 feet,Loop,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alpine Ridge Trail,EASY,0.6 miles,124 feet,Out & Back,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe Regional Trail,EASY,16.9 miles,"1,213 feet",Point to Point,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Indiana Gulch Trail,EASY,2.8 miles,328 feet,Out & Back,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesee Summit Trail,EASY,1.1 miles,177 feet,Loop,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trail Ridge Road,MODERATE,39.0 miles,"3,891 feet",Point to Point,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Rolling Creek Trail Via Colorado Trail ,HARD,25.6 miles,"5,928 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Belford,HARD,7.0 miles,"4,520 feet",Out & Back,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophir Pass Road,MODERATE,9.8 miles,"1,794 feet",Point to Point,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rooney Valley Trail/Green Mountain Trail Loop,MODERATE,3.6 miles,803 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Keyhole and Longs Peak Trail,HARD,13.1 miles,"4,881 feet",Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribou Peak Trail,MODERATE,3.4 miles,800 feet,Loop,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineer Pass Road,MODERATE,20.5 miles,"1,085 feet",Point to Point,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hell Canyon Loop,HARD,15.9 miles,"5,229 feet",Loop,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassell Lake,MODERATE,3.1 miles,836 feet,Loop,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Creek Reservoir Trail,HARD,3.2 miles,"1,528 feet",Out & Back,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Intemann Nature Trail,EASY,1.8 miles,344 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bunce School Road, Ironclads and Plane Crash 4x4 Trails",HARD,15.9 miles,"2,562 feet",Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Haviland Lake Trail,MODERATE,4.8 miles,757 feet,Loop,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
McKay Lake Trail,EASY,1.6 miles,13 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lonesome Lake Trail,MODERATE,10.1 miles,"1,758 feet",Out & Back,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curecanti Creek Trail,HARD,3.7 miles,836 feet,Out & Back,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walker's Dream via Castle Trail,MODERATE,3.1 miles,383 feet,Out & Back,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blue Sky and Indian Summer Trail,MODERATE,15.6 miles,"1,771 feet",Out & Back,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Dry Creek Trail,EASY,11.7 miles,127 feet,Point to Point,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Castle Rock via Elbert Creek Trail,MODERATE,4.5 miles,"1,646 feet",Out & Back,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Spanish Peak Trail,MODERATE,7.9 miles,"2,624 feet",Out & Back,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown's Lake Trail,MODERATE,8.2 miles,"2,070 feet",Out & Back,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroon Snowmass Trail and Snowmass Lake and Snowmass Mountain,HARD,20.3 miles,"6,213 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crater Lake Trail,MODERATE,9.9 miles,"1,994 feet",Out & Back,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wonderland Lake Trail,EASY,1.7 miles,82 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Mule Deer Trail,EASY,3.7 miles,501 feet,Out & Back,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meadow Creek Trail,MODERATE,8.4 miles,"2,286 feet",Out & Back,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Flats Trail,HARD,10.2 miles,"2,814 feet",Point to Point,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Raspberry Chautauqua Mountain Trail,MODERATE,5.2 miles,"1,030 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek Trail,HARD,12.4 miles,"4,698 feet",Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Lake Creek Trail,MODERATE,4.1 miles,"1,049 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosalie Trail,HARD,11.5 miles,"3,756 feet",Point to Point,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanella Pass Trail,EASY,24.7 miles,"3,458 feet",Point to Point,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Overlook Trail,MODERATE,5.9 miles,"2,116 feet",Out & Back,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Officers Gulch,EASY,1.1 miles,68 feet,Loop,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberta Peak: Continental Divide National Scenic Trail,MODERATE,4.8 miles,"1,233 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eaglesmere Lakes,MODERATE,7.4 miles,"1,850 feet",Out & Back,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyss Lake,HARD,23.3 miles,"6,105 feet",Out & Back,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosier Mountain Trail via Devil's Gulch Rd.,HARD,7.0 miles,"2,152 feet",Out & Back,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel Point Trail,HARD,6.1 miles,"2,732 feet",Loop,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Gorge Trail,EASY,5.4 miles,610 feet,Out & Back,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flatirons Vista North Trail to Springbrook Trail loop,MODERATE,8.1 miles,793 feet,Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster and Red Cone Pass Trail,MODERATE,17.5 miles,"3,759 feet",Out & Back,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Challenge Hill Blue Loop Trail,MODERATE,0.6 miles,173 feet,Loop,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribou Trail,EASY,4.0 miles,308 feet,Loop,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
High Line Canal Loop Trail,EASY,4.2 miles,114 feet,Loop,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri Mountain Trail ,MODERATE,8.6 miles,"4,416 feet",Loop,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highline Canal Trail,EASY,7.2 miles,82 feet,Point to Point,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Maroon Creek Trail,MODERATE,6.9 miles,"1,161 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MacGregor Falls Trail,EASY,6.2 miles,948 feet,Out & Back,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan Gulch Trail,MODERATE,2.0 miles,984 feet,Out & Back,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackmer Loop Trail,MODERATE,4.2 miles,482 feet,Loop,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Trail,MODERATE,6.6 miles,902 feet,Out & Back,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willow Creek / Salmon Lake Trail,HARD,16.6 miles,"3,031 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek Greenbelt Lakewood Trail,EASY,3.5 miles,59 feet,Out & Back,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fishhook Lake, Lost Lake, and Lake Elmo Trail",MODERATE,3.8 miles,528 feet,Out & Back,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Reservoir Loop,MODERATE,18.4 miles,"1,092 feet",Loop,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Emerald Mountain Trail,MODERATE,1.5 miles,902 feet,Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Peter's Dome Trail,MODERATE,1.2 miles,337 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluebell Mesa Loop,MODERATE,1.5 miles,429 feet,Loop,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hummingbird and Songbird Loop Trail,EASY,2.1 miles,482 feet,Loop,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Charles Trail,HARD,8.4 miles,"1,745 feet",Out & Back,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lost Lake Trail,EASY,7.2 miles,"1,181 feet",Out & Back,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lily Ridge Trail,EASY,1.1 miles,196 feet,Loop,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur Ridge,EASY,4.0 miles,705 feet,Out & Back,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eagle Lake Trail,MODERATE,5.4 miles,"1,036 feet",Out & Back,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncompahgre Peak Trail,HARD,7.1 miles,"2,870 feet",Out & Back,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Mason Creek Trail ,MODERATE,8.1 miles,"1,558 feet",Out & Back,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Canyon Overlook,EASY,0.3 miles,22 feet,Out & Back,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canyon Rim Trail to Window Rock,EASY,1.8 miles,246 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Trail ,MODERATE,3.4 miles,925 feet,Loop,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Apex and Enchanted Forest Trail Loop,MODERATE,5.5 miles,"1,243 feet",Loop,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
