,Name,Difficulty,Distance,Elevation Gain,Route Type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach,location,stars,Unnamed: 0,link
560,Lion Lake Trail,HARD,12.4 miles,"3,031 feet",Out & Back,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,560,https://www.alltrails.com/trail/us/colorado/lion-lake-trail?ref=result-card
561,Lake Estes Trail,EASY,3.8 miles,190 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Estes Park Goif Course,3.9,561,https://www.alltrails.com/trail/us/colorado/lake-estes-trail?ref=result-card
562,M. Walter Pesman Trail,MODERATE,2.7 miles,761 feet,Out & Back,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echo Lake Park,4.5,562,https://www.alltrails.com/trail/us/colorado/m-walter-pesman-trail?ref=result-card
563,Sand Canyon Trail,MODERATE,7.1 miles,754 feet,Out & Back,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Canyons of The Ancients National Monument,4.5,563,https://www.alltrails.com/trail/us/colorado/sand-canyon-trail?ref=result-card
564,Chatfield Dog Park,EASY,1.6 miles,22 feet,Loop,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Chatfield State Park,4.7,564,https://www.alltrails.com/trail/us/colorado/chatfield-dog-park?ref=result-card
565,Browns Creek and Little Browns Creek Trail,HARD,18.1 miles,"4,409 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.4,565,https://www.alltrails.com/trail/us/colorado/browns-creek-and-little-browns-creek-trail?ref=result-card
566,Oak Flat Loop Trail,MODERATE,1.3 miles,311 feet,Loop,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Canyon of the Gunnison National Park,4.2,566,https://www.alltrails.com/trail/us/colorado/oak-flat-loop-trail?ref=result-card
567,Green Mountain Trail,MODERATE,3.5 miles,705 feet,Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,567,https://www.alltrails.com/trail/us/colorado/green-mountain-trail--2?ref=result-card
568,Golden Eagle Trail to Bill Couch Mountain,MODERATE,6.5 miles,"1,315 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deer Creek Canyon Park,4.5,568,https://www.alltrails.com/trail/us/colorado/golden-eagle-trail-to-bill-couch-mountain?ref=result-card
569,Peak 10 Trail,MODERATE,13.0 miles,"3,818 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.4,569,https://www.alltrails.com/trail/us/colorado/peak-10-trail?ref=result-card
570,Chapin Pass Trail to Mount Chapin,MODERATE,3.9 miles,"1,463 feet",Out & Back,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9,570,https://www.alltrails.com/trail/us/colorado/chapin-pass-trail-to-mount-chapin?ref=result-card
571,Cucumber Gulch ,EASY,2.9 miles,288 feet,Out & Back,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,White River National Forest,3.8,571,https://www.alltrails.com/trail/us/colorado/cucumber-gulch?ref=result-card
572,North Table Mountain Outer Rim Loop,MODERATE,7.2 miles,"1,059 feet",Loop,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Table Mountain Park,4.2,572,https://www.alltrails.com/trail/us/colorado/north-table-mountin-outer-rim-loop?ref=result-card
573,Storm King Mountain Memorial Trail,HARD,3.5 miles,"1,673 feet",Loop,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,White River National Forest,4.6,573,https://www.alltrails.com/trail/us/colorado/storm-king-mountain-memorial-trail?ref=result-card
574,Carter Lake Reservoir - Sundance Trail,EASY,5.9 miles,265 feet,Out & Back,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3.9,574,https://www.alltrails.com/trail/us/colorado/carter-lake-reservoir-sundance-trail?ref=result-card
575,South Boulder Creek Trail,EASY,6.6 miles,170 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,East Boulder Community Park,3.9,575,https://www.alltrails.com/trail/us/colorado/south-boulder-creek-trail?ref=result-card
576,Bear Lake to Alberta Falls to Mills Lake,MODERATE,5.4 miles,938 feet,Out & Back,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6,576,https://www.alltrails.com/trail/us/colorado/rmnp-bear-lake-to-alberta-falls-to-mills-lake-mt-estes-co?ref=result-card
577,Griffin Memorial ,MODERATE,3.7 miles,"1,167 feet",Out & Back,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.4,577,https://www.alltrails.com/trail/us/colorado/griffin-memorial?ref=result-card
578,Kingston Peak,MODERATE,6.0 miles,"1,656 feet",Out & Back,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.0,578,https://www.alltrails.com/trail/us/colorado/kingston-peak?ref=result-card
579,Meadow Mountain,MODERATE,9.4 miles,"2,060 feet",Out & Back,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.0,579,https://www.alltrails.com/trail/us/colorado/meadow-mountain?ref=result-card
580,Upper Beaver Meadows Loop Trail,EASY,1.1 miles,114 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,3.8,580,https://www.alltrails.com/trail/us/colorado/upper-beaver-meadows-trail?ref=result-card
581,Thomas Trail,MODERATE,2.4 miles,643 feet,Loop,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.2,581,https://www.alltrails.com/trail/us/colorado/thomas-trail?ref=result-card
582,Evergreen Lake Trail,EASY,1.4 miles,39 feet,Loop,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dedisse Park,3.8,582,https://www.alltrails.com/trail/us/colorado/evergreen-evergreen-lake-trail?ref=result-card
583,Smuggler Mountain Trail,MODERATE,14.0 miles,"3,179 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.2,583,https://www.alltrails.com/trail/us/colorado/smuggler-mountain-trail?ref=result-card
584,Bob/Betty Lakes Trail Via King Lake Trail,HARD,12.4 miles,"2,598 feet",Out & Back,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.8,584,https://www.alltrails.com/trail/us/colorado/bob-betty-lakes-trail-via-king-lake-trail?ref=result-card
585,Native Lake Trail,MODERATE,7.2 miles,"2,047 feet",Out & Back,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mt Massive Wilderness Area,4.7,585,https://www.alltrails.com/trail/us/colorado/native-lake-trail?ref=result-card
586,Ute and Range View Trail Loop,MODERATE,1.1 miles,200 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boulder Open Space,4.2,586,https://www.alltrails.com/trail/us/colorado/ute-range-view-loop?ref=result-card
587,Bear Lake via Horn Fork Trail,MODERATE,10.4 miles,"2,536 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collegiate Peaks Wilderness,4.4,587,https://www.alltrails.com/trail/us/colorado/bear-lake-via-horn-fork-trail?ref=result-card
588,Mount Falcon Lookout Trail,EASY,1.4 miles,180 feet,Out & Back,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Falcon Park,4.6,588,https://www.alltrails.com/trail/us/colorado/mount-falcon-lookout-trail?ref=result-card
589,Almagre Mountain Trail,MODERATE,15.4 miles,"2,824 feet",Out & Back,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.7,589,https://www.alltrails.com/trail/us/colorado/almagre-mountain-trail?ref=result-card
590,Platte Canyon Trail,MODERATE,15.1 miles,"2,066 feet",Point to Point,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reynolds Ranch County Park,4.3,590,https://www.alltrails.com/trail/us/colorado/platte-canyon-trail?ref=result-card
591,Edna Mae Bennet Nature Trail,EASY,2.3 miles,301 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Palmer Park,4.0,591,https://www.alltrails.com/trail/us/colorado/edna-mae-bennet-nature-trail?ref=result-card
592,"Gregory Canyon, Ranger, E.M. Greenman, Green Mountain Saddle Rock, Amphitheater Loop",HARD,5.0 miles,"2,342 feet",Loop,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5,592,https://www.alltrails.com/trail/us/colorado/gregory-canyon-ranger-em-greenman-green-mountain-saddle-rock-amphitheater-loop?ref=result-card
593,Mount Elbert Southeast Ridge Trail,HARD,9.9 miles,"5,108 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.7,593,https://www.alltrails.com/trail/us/colorado/mount-elbert-southeast-ridge-trail?ref=result-card
594,Grizzly Lake Trail,MODERATE,7.1 miles,"1,961 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.7,594,https://www.alltrails.com/trail/us/colorado/grizzly-lake-trail?ref=result-card
595,Rim Trail South,MODERATE,7.4 miles,"1,512 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.3,595,https://www.alltrails.com/trail/us/colorado/rim-trail-south?ref=result-card
596,Fox Run Loop Trail,EASY,3.1 miles,429 feet,Loop,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fox Run Regional Park,4.2,596,https://www.alltrails.com/trail/us/colorado/fox-run-loop-trail?ref=result-card
597,Mount Carbon Loop,EASY,6.6 miles,564 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear Creek Canyon Park,3.9,597,https://www.alltrails.com/trail/us/colorado/mount-carbon-loop?ref=result-card
598,Mount Antero Trail,MODERATE,14.2 miles,"4,819 feet",Out & Back,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mc Phelemy Park,4.3,598,https://www.alltrails.com/trail/us/colorado/mount-antero-trail?ref=result-card
599,"Nymph, Dream, Haiyaha and Loch Vale Lakes Loop",MODERATE,7.9 miles,"1,587 feet",Loop,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9,599,https://www.alltrails.com/trail/us/colorado/nymph-dream-haiyaha-and-loch-vale-lakes-loop?ref=result-card
600,Old Fall River Road,EASY,10.5 miles,"3,280 feet",Point to Point,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.3,600,https://www.alltrails.com/trail/us/colorado/fall-river-road?ref=result-card
601,Limber Grove Trail,MODERATE,3.5 miles,564 feet,Out & Back,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.4,601,https://www.alltrails.com/trail/us/colorado/limber-grove-trail?ref=result-card
602,Balcony House Loop Trail,EASY,0.4 miles,91 feet,Loop,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mesa Verde National Park,4.5,602,https://www.alltrails.com/trail/us/colorado/balcony-house-loop-trail?ref=result-card
603,Big South Trail,MODERATE,6.5 miles,"1,128 feet",Out & Back,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.7,603,https://www.alltrails.com/trail/us/colorado/big-south-trail?ref=result-card
604,Apex Trail to Enchanted Forest Trail Loop,MODERATE,5.2 miles,"1,256 feet",Loop,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apex Open Space Park,4.2,604,https://www.alltrails.com/trail/us/colorado/apex-enchanted-forest-trail-loop?ref=result-card
605,Whitney Lake Trail,MODERATE,4.8 miles,"1,837 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Cross Wilderness,4.3,605,https://www.alltrails.com/trail/us/colorado/whitney-lake-trail--2?ref=result-card
606,South Colony Lakes Trail,HARD,8.9 miles,"2,286 feet",Out & Back,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.5,606,https://www.alltrails.com/trail/us/colorado/south-colony-lakes-trail?ref=result-card
607,Corona Lake,EASY,2.0 miles,449 feet,Out & Back,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.1,607,https://www.alltrails.com/trail/us/colorado/corona-lake?ref=result-card
608,Capitol Peak,HARD,15.4 miles,"5,836 feet",Out & Back,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.9,608,https://www.alltrails.com/trail/us/colorado/capitol-peak?ref=result-card
609,Colorado River Trail,MODERATE,4.2 miles,269 feet,Loop,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,3.6,609,https://www.alltrails.com/trail/us/colorado/colorado-river-trail--2?ref=result-card
610,Alpine Ridge Trail,EASY,0.6 miles,124 feet,Out & Back,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.2,610,https://www.alltrails.com/trail/us/colorado/alpine-ridge-trail?ref=result-card
611,Santa Fe Regional Trail,EASY,16.9 miles,"1,213 feet",Point to Point,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Discovery Park,3.9,611,https://www.alltrails.com/trail/us/colorado/santa-fe-regional-trail?ref=result-card
612,Indiana Gulch Trail,EASY,2.8 miles,328 feet,Out & Back,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,3.6,612,https://www.alltrails.com/trail/us/colorado/indiana-gulch-trail?ref=result-card
613,Genesee Summit Trail,EASY,1.1 miles,177 feet,Loop,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genesee Park,3.7,613,https://www.alltrails.com/trail/us/colorado/genesee-mountain-trail?ref=result-card
614,Trail Ridge Road,MODERATE,39.0 miles,"3,891 feet",Point to Point,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Rocky Mountain National Park,4.9,614,https://www.alltrails.com/trail/us/colorado/trail-ridge-road--2?ref=result-card
615,Rolling Creek Trail Via Colorado Trail ,HARD,25.6 miles,"5,928 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Creek Wilderness,4.4,615,https://www.alltrails.com/trail/us/colorado/rolling-creek-trail-via-colorado-trail?ref=result-card
616,Mount Belford,HARD,7.0 miles,"4,520 feet",Out & Back,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.5,616,https://www.alltrails.com/trail/us/colorado/mount-belford?ref=result-card
617,Ophir Pass Road,MODERATE,9.8 miles,"1,794 feet",Point to Point,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.3,617,https://www.alltrails.com/trail/us/colorado/ophir-pass?ref=result-card
618,Rooney Valley Trail/Green Mountain Trail Loop,MODERATE,3.6 miles,803 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William F Hayden Green Mountain Park,3.9,618,https://www.alltrails.com/trail/us/colorado/rooney-valley-trail-green-mountain-trail-loop?ref=result-card
619,The Keyhole and Longs Peak Trail,HARD,13.1 miles,"4,881 feet",Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.8,619,https://www.alltrails.com/trail/us/colorado/the-keyhole-and-longs-peak-trail?ref=result-card
620,Caribou Peak Trail,MODERATE,3.4 miles,800 feet,Loop,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.4,620,https://www.alltrails.com/trail/us/colorado/caribou-peak-trail?ref=result-card
621,Engineer Pass Road,MODERATE,20.5 miles,"1,085 feet",Point to Point,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Uncompahgre National Forest,4.6,621,https://www.alltrails.com/trail/us/colorado/engineer-pass-road?ref=result-card
622,Hell Canyon Loop,HARD,15.9 miles,"5,229 feet",Loop,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.6,622,https://www.alltrails.com/trail/us/colorado/hell-canyon-loop?ref=result-card
623,Hassell Lake,MODERATE,3.1 miles,836 feet,Loop,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,3.8,623,https://www.alltrails.com/trail/us/colorado/hassell-lake?ref=result-card
624,Crystal Creek Reservoir Trail,HARD,3.2 miles,"1,528 feet",Out & Back,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.6,624,https://www.alltrails.com/trail/us/colorado/crystal-creek-reservoir-trail?ref=result-card
625,Paul Intemann Nature Trail,EASY,1.8 miles,344 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manitou Springs Open Space,4.0,625,https://www.alltrails.com/trail/us/colorado/paul-intemann-nature-trail?ref=result-card
626,"Bunce School Road, Ironclads and Plane Crash 4x4 Trails",HARD,15.9 miles,"2,562 feet",Out & Back,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.6,626,https://www.alltrails.com/trail/us/colorado/bunce-school-road-ironclads-and-plane-crash-4x4-trails?ref=result-card
627,Haviland Lake Trail,MODERATE,4.8 miles,757 feet,Loop,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,San Juan National Forest,3.9,627,https://www.alltrails.com/trail/us/colorado/haviland-lake-trail?ref=result-card
628,McKay Lake Trail,EASY,1.6 miles,13 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,None,3.9,628,https://www.alltrails.com/trail/us/colorado/mckay-lake-trail?ref=result-card
629,Lonesome Lake Trail,MODERATE,10.1 miles,"1,758 feet",Out & Back,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.6,629,https://www.alltrails.com/trail/us/colorado/lonesome-lake-trail?ref=result-card
630,Curecanti Creek Trail,HARD,3.7 miles,836 feet,Out & Back,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Curecanti National Recreation Area,4.9,630,https://www.alltrails.com/trail/us/colorado/curecanti-creek-trail?ref=result-card
631,Walker's Dream via Castle Trail,MODERATE,3.1 miles,383 feet,Out & Back,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mount Falcon Park,4.6,631,https://www.alltrails.com/trail/us/colorado/walkers-dream-via-castle-trail?ref=result-card
632,Blue Sky and Indian Summer Trail,MODERATE,15.6 miles,"1,771 feet",Out & Back,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horsetooth Mountain Park,3.8,632,https://www.alltrails.com/trail/us/colorado/blue-sky-trail?ref=result-card
633,Big Dry Creek Trail,EASY,11.7 miles,127 feet,Point to Point,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Waverly Park,4.0,633,https://www.alltrails.com/trail/us/colorado/big-dry-creek-2-mi-north?ref=result-card
634,Castle Rock via Elbert Creek Trail,MODERATE,4.5 miles,"1,646 feet",Out & Back,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.5,634,https://www.alltrails.com/trail/us/colorado/castle-rock-via-elbert-creek-trail?ref=result-card
635,West Spanish Peak Trail,MODERATE,7.9 miles,"2,624 feet",Out & Back,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Isabel National Forest,4.4,635,https://www.alltrails.com/trail/us/colorado/west-spanish-peak-trail?ref=result-card
636,Brown's Lake Trail,MODERATE,8.2 miles,"2,070 feet",Out & Back,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.5,636,https://www.alltrails.com/trail/us/colorado/browns-lake-trail-2?ref=result-card
637,Maroon Snowmass Trail and Snowmass Lake and Snowmass Mountain,HARD,20.3 miles,"6,213 feet",Out & Back,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maroon Bells Snowmass Wilderness,4.5,637,https://www.alltrails.com/trail/us/colorado/maroon-snowmass-trail?ref=result-card
638,Crater Lake Trail,MODERATE,9.9 miles,"1,994 feet",Out & Back,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,San Juan National Forest,4.3,638,https://www.alltrails.com/trail/us/colorado/crater-lake-trail-2?ref=result-card
639,Wonderland Lake Trail,EASY,1.7 miles,82 feet,Loop,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4.1,639,https://www.alltrails.com/trail/us/colorado/wonderland-lake-trail?ref=result-card
640,Upper Mule Deer Trail,EASY,3.7 miles,501 feet,Out & Back,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Gate Canyon State Park,4.2,640,https://www.alltrails.com/trail/us/colorado/upper-mule-deer-trail?ref=result-card
641,Meadow Creek Trail,MODERATE,8.4 miles,"2,286 feet",Out & Back,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walter Byron Memorial Park,4.1,641,https://www.alltrails.com/trail/us/colorado/meadow-creek-trail?ref=result-card
